param_name,group,percentile,value
vgr_pick_up_and_transport_pooled,overall,0,0.250047
vgr_pick_up_and_transport_pooled,overall,5,1.151841
vgr_pick_up_and_transport_pooled,overall,10,2.178706
vgr_pick_up_and_transport_pooled,overall,15,2.411303
vgr_pick_up_and_transport_pooled,overall,20,2.978141
vgr_pick_up_and_transport_pooled,overall,25,4.148511
vgr_pick_up_and_transport_pooled,overall,30,6.137543
vgr_pick_up_and_transport_pooled,overall,35,12.948105
vgr_pick_up_and_transport_pooled,overall,40,19.7064
vgr_pick_up_and_transport_pooled,overall,45,23.331237
vgr_pick_up_and_transport_pooled,overall,50,28.171939
vgr_pick_up_and_transport_pooled,overall,55,36.0952
vgr_pick_up_and_transport_pooled,overall,60,37.0688
vgr_pick_up_and_transport_pooled,overall,65,39.6377
vgr_pick_up_and_transport_pooled,overall,70,42.3658
vgr_pick_up_and_transport_pooled,overall,75,43.516
vgr_pick_up_and_transport_pooled,overall,80,44.475062
vgr_pick_up_and_transport_pooled,overall,85,50.777082
vgr_pick_up_and_transport_pooled,overall,90,53.182821
vgr_pick_up_and_transport_pooled,overall,95,77.39687
vgr_pick_up_and_transport_pooled,overall,100,98.915441
