param_name,group,percentile,value
wt_pick_up_and_transport_pooled,overall,0,0.199769
wt_pick_up_and_transport_pooled,overall,5,3.382635
wt_pick_up_and_transport_pooled,overall,10,3.951503
wt_pick_up_and_transport_pooled,overall,15,4.175726
wt_pick_up_and_transport_pooled,overall,20,4.618524
wt_pick_up_and_transport_pooled,overall,25,5.074337
wt_pick_up_and_transport_pooled,overall,30,5.709521
wt_pick_up_and_transport_pooled,overall,35,5.931337
wt_pick_up_and_transport_pooled,overall,40,6.134392
wt_pick_up_and_transport_pooled,overall,45,6.38975
wt_pick_up_and_transport_pooled,overall,50,7.015671
wt_pick_up_and_transport_pooled,overall,55,24.963833
wt_pick_up_and_transport_pooled,overall,60,25.944
wt_pick_up_and_transport_pooled,overall,65,25.97935
wt_pick_up_and_transport_pooled,overall,70,26.1193
wt_pick_up_and_transport_pooled,overall,75,26.3045
wt_pick_up_and_transport_pooled,overall,80,26.867
wt_pick_up_and_transport_pooled,overall,85,28.8854
wt_pick_up_and_transport_pooled,overall,90,29.1094
wt_pick_up_and_transport_pooled,overall,95,29.21125
wt_pick_up_and_transport_pooled,overall,100,29.235
