param_name,group,percentile,value
duration_computed,hw_1,0,0.109
duration_computed,hw_1,5,1.035881
duration_computed,hw_1,10,1.278679
duration_computed,hw_1,15,1.445315
duration_computed,hw_1,20,1.544105
duration_computed,hw_1,25,2.178397
duration_computed,hw_1,30,2.243908
duration_computed,hw_1,35,2.576538
duration_computed,hw_1,40,2.593788
duration_computed,hw_1,45,2.609361
duration_computed,hw_1,50,2.62506
duration_computed,hw_1,55,2.746374
duration_computed,hw_1,60,2.862464
duration_computed,hw_1,65,2.975786
duration_computed,hw_1,70,4.381268
duration_computed,hw_1,75,4.984367
duration_computed,hw_1,80,8.9254
duration_computed,hw_1,85,13.4305
duration_computed,hw_1,90,31.938
duration_computed,hw_1,95,58.7717
duration_computed,hw_1,100,98.143
