param_name,group,percentile,value
duration_computed,mm_1,0,3.765536
duration_computed,mm_1,5,4.018685
duration_computed,mm_1,10,4.143709
duration_computed,mm_1,15,4.29995
duration_computed,mm_1,20,4.462436
duration_computed,mm_1,25,4.562446
duration_computed,mm_1,30,4.66559
duration_computed,mm_1,35,5.0774
duration_computed,mm_1,40,5.0918
duration_computed,mm_1,45,5.187529
duration_computed,mm_1,50,5.283
duration_computed,mm_1,55,5.52813
duration_computed,mm_1,60,5.628131
duration_computed,mm_1,65,5.931298
duration_computed,mm_1,70,13.8498
duration_computed,mm_1,75,14.047
duration_computed,mm_1,80,14.1072
duration_computed,mm_1,85,14.2208
duration_computed,mm_1,90,14.2476
duration_computed,mm_1,95,14.6846
duration_computed,mm_1,100,23.046
