param_name,group,percentile,value
duration_computed,ov_1,0,2.570771
duration_computed,ov_1,5,3.821076
duration_computed,ov_1,10,3.939043
duration_computed,ov_1,15,4.181968
duration_computed,ov_1,20,4.346883
duration_computed,ov_1,25,4.515672
duration_computed,ov_1,30,4.648403
duration_computed,ov_1,35,4.747645
duration_computed,ov_1,40,5.615587
duration_computed,ov_1,45,6.144531
duration_computed,ov_1,50,8.953117
duration_computed,ov_1,55,20.9804
duration_computed,ov_1,60,22.6344
duration_computed,ov_1,65,24.6204
duration_computed,ov_1,70,28.7704
duration_computed,ov_1,75,32.148
duration_computed,ov_1,80,37.1798
duration_computed,ov_1,85,51.35195
duration_computed,ov_1,90,52.2649
duration_computed,ov_1,95,53.97575
duration_computed,ov_1,100,54.359
