param_name,group,percentile,value
duration_computed,wt_1,0,3.875019
duration_computed,wt_1,5,3.918719
duration_computed,wt_1,10,3.999741
duration_computed,wt_1,15,4.443707
duration_computed,wt_1,20,4.668791
duration_computed,wt_1,25,4.749998
duration_computed,wt_1,30,4.859416
duration_computed,wt_1,35,5.10938
duration_computed,wt_1,40,5.193772
duration_computed,wt_1,45,5.671886
duration_computed,wt_1,50,6.40619
duration_computed,wt_1,55,25.9486
duration_computed,wt_1,60,26.0292
duration_computed,wt_1,65,26.03
duration_computed,wt_1,70,26.0314
duration_computed,wt_1,75,26.034
duration_computed,wt_1,80,26.1382
duration_computed,wt_1,85,26.141
duration_computed,wt_1,90,26.1468
duration_computed,wt_1,95,26.2498
duration_computed,wt_1,100,28.887
