activity_resource,activity,resource,n,n_clean,outlier_count,outlier_rate,mean,std,median,min,max,clean_mean,clean_std
/dm/cylindrical_drill @ dm_2,/dm/cylindrical_drill,dm_2,4,3,1,0.25,30.81725001335144,2.652927994807907,31.77400004863739,26.906999826431274,32.81400012969971,32.12066674232483,0.6030500827021965
/dm/lower @ dm_2,/dm/lower,dm_2,4,4,0,0.0,13.933750033378601,0.10613626559748494,13.94599997997284,13.814000129699707,14.029000043869019,13.933750033378601,0.10613626559748494
/hbw/get_empty_bucket @ hbw_1,/hbw/get_empty_bucket,hbw_1,15,13,2,0.13333333333333333,39.40259998639424,5.109965715235873,37.25,33.59400010108948,51.7189998626709,37.74469230725215,2.7812939466633297
/hbw/store @ hbw_1,/hbw/store,hbw_1,14,14,0,0.0,37.729571444647654,2.797556574037946,37.20399987697601,33.76800012588501,42.229000091552734,37.729571444647654,2.797556574037946
/hbw/store_empty_bucket @ hbw_1,/hbw/store_empty_bucket,hbw_1,1,1,0,0.0,37.295000076293945,0.0,37.295000076293945,37.295000076293945,37.295000076293945,37.295000076293945,
/hbw/store_empty_bucket @ hbw_2,/hbw/store_empty_bucket,hbw_2,36,35,1,0.027777777777777776,36.94088890155157,5.852565296673273,37.343000054359436,9.297999858856201,44.34400010108948,37.73068573134286,3.4847425365056846
/hbw/unload @ hbw_2,/hbw/unload,hbw_2,38,36,2,0.05263157894736842,37.775584490675676,10.610621991208625,38.2960000038147,0.01557302474975586,52.35700011253357,39.87336115042368,5.746054286423284
/hw/human_review @ hw_1,/hw/human_review,hw_1,24,21,3,0.125,20.919249991575878,29.936518748536344,5.633499979972839,0.10899996757507324,98.14299988746643,11.035666658764793,14.303638299182284
/mm/deburr @ mm_1,/mm/deburr,mm_1,21,18,3,0.14285714285714285,14.407380932853336,0.6656799745971743,14.217999935150146,13.842999935150146,16.450000047683716,14.167333324750265,0.17631655956689626
/mm/deburr @ mm_2,/mm/deburr,mm_2,4,3,1,0.25,14.319999933242798,0.12166352356465325,14.273499965667725,14.232999801635742,14.5,14.259999910990397,0.024556128105198475
/mm/drill @ mm_2,/mm/drill,mm_2,7,7,0,0.0,11.12642857006618,5.463390941108518,15.433000087738037,5.281000137329102,15.657000064849854,11.12642857006618,5.463390941108518
/mm/mill @ mm_1,/mm/mill,mm_1,15,13,2,0.13333333333333333,5.800133307774861,2.29753979945815,5.125,4.906000137329102,14.047999858856201,5.1430768966674805,0.1209637785848387
/mm/mill @ mm_2,/mm/mill,mm_2,4,4,0,0.0,14.402000069618225,0.2066705362245345,14.36650013923645,14.218999862670898,14.656000137329102,14.402000069618225,0.2066705362245345
/mm/transport_from_to @ mm_1,/mm/transport_from_to,mm_1,1,1,0,0.0,23.046000003814697,0.0,23.046000003814697,23.046000003814697,23.046000003814697,23.046000003814697,
/mm/transport_from_to @ mm_2,/mm/transport_from_to,mm_2,2,2,0,0.0,11.98449993133545,0.3302188722089143,11.98449993133545,11.750999927520752,12.217999935150146,11.98449993133545,0.3302188722089143
/ov/burn @ ov_1,/ov/burn,ov_1,21,21,0,0.0,26.790095170338947,5.27297390018184,26.09599995613098,20.780999898910522,37.501999855041504,26.790095170338947,5.27297390018184
/ov/burn @ ov_2,/ov/burn,ov_2,12,10,2,0.16666666666666666,47.03141667445501,54.722969416129835,34.406999945640564,9.25,218.68799996376038,33.64390001296997,5.322521779122323
/ov/temper @ ov_1,/ov/temper,ov_1,14,14,0,0.0,52.68657141072409,1.284561505612415,52.40649998188019,50.9210000038147,54.35899996757507,52.68657141072409,1.284561505612415
/pm/punch_gill @ pm_1,/pm/punch_gill,pm_1,3,3,0,0.0,27.750333388646443,0.4631742780276813,27.513999938964844,27.45300006866455,28.284000158309937,27.750333388646443,0.4631742780276813
/pm/punch_recesses @ pm_1,/pm/punch_recesses,pm_1,5,5,0,0.0,23.346999979019166,0.18322797136494384,23.375,23.157000064849854,23.608999967575073,23.346999979019166,0.18322797136494384
/pm/punch_ribbing @ pm_1,/pm/punch_ribbing,pm_1,5,4,1,0.2,24.746399974823,3.7032869792430807,23.186000108718872,22.82800006866455,31.359999895095825,23.09299999475479,0.24678460293303278
/sm/sort @ sm_1,/sm/sort,sm_1,10,9,1,0.1,16.923000049591064,11.152918222862363,12.398000001907349,10.775000095367432,47.39100003242493,13.53766671816508,3.317470895406624
/sm/sort @ sm_2,/sm/sort,sm_2,6,6,0,0.0,9.433500011761984,0.7805277418317567,9.351499915122986,8.727999925613403,10.375,9.433500011761984,0.7805277418317567
/sm/transport @ sm_1,/sm/transport,sm_1,13,11,2,0.15384615384615385,23.197923055061928,7.429011776546408,20.6560001373291,18.07800006866455,44.46799993515015,20.481181794946846,2.3340219615876583
/sm/transport @ sm_2,/sm/transport,sm_2,8,8,0,0.0,14.457375019788742,0.25294088697917405,14.444999933242798,14.093000173568726,14.828999996185303,14.457375019788742,0.25294088697917405
/vgr/pick_up_and_transport @ vgr_1,/vgr/pick_up_and_transport,vgr_1,85,85,0,0.0,36.62030589159797,13.782683912881955,41.593000173568726,11.02999997138977,55.312000036239624,36.62030589159797,13.782683912881955
/vgr/pick_up_and_transport @ vgr_2,/vgr/pick_up_and_transport,vgr_2,42,42,0,0.0,40.827833328928264,4.225333740080504,43.31049990653992,31.33199977874756,46.187999963760376,40.827833328928264,4.225333740080504
/wt/pick_up_and_transport @ wt_1,/wt/pick_up_and_transport,wt_1,27,25,2,0.07407407407407407,26.18785180868926,0.5486588807626618,26.033999919891357,25.91699981689453,28.88699984550476,26.072959966659546,0.08691638940592335
/wt/pick_up_and_transport @ wt_2,/wt/pick_up_and_transport,wt_2,14,13,1,0.07142857142857142,29.49842858314514,0.12748438269316814,29.487499952316284,29.328999996185303,29.85199999809265,29.471230781995335,0.07992203038721186
