activity_resource,n,actual_mean,planned_mean,ratio_mean,diff_mean,ratio_std
/dm/cylindrical_drill @ dm_2,4,30.81725001335144,47.0,0.6556861704968392,-16.18274998664856,0.05644527648527467
/dm/lower @ dm_2,4,13.933750033378601,14.0,0.9952678595270429,-0.06624996662139893,0.007581161828391838
/hbw/get_empty_bucket @ hbw_1,15,39.40259998639424,46.0,0.8565782605737879,-6.597400013605753,0.11108621120077983
/hbw/store @ hbw_1,14,37.729571444647654,46.0,0.8202080748836448,-8.270428555352348,0.06081644726169449
/hbw/store_empty_bucket @ hbw_1,1,37.295000076293945,46.0,0.8107608712237814,-8.704999923706055,0.0
/hbw/store_empty_bucket @ hbw_2,36,36.94088890155157,47.0,0.78597635960748,-10.059111098448435,0.12452266588666538
/hbw/unload @ hbw_2,38,37.775584490675676,52.0,0.7264535478976091,-14.224415509324325,0.20405042290785816
/hw/human_review @ hw_1,24,20.919249991575878,102.0,0.2050906861919204,-81.08075000842412,0.2934952818483956
/mm/deburr @ mm_1,21,14.407380932853336,14.0,1.0290986380609526,0.40738093285333543,0.0475485696140839
/mm/deburr @ mm_2,4,14.319999933242798,15.0,0.9546666622161866,-0.6800000667572021,0.008110901570976875
/mm/drill @ mm_2,7,11.12642857006618,17.714285714285715,0.5915638538666103,-6.587857144219535,0.14132022606403316
/mm/mill @ mm_1,15,5.800133307774861,5.6,1.0396152341933478,0.20013330777486166,0.054780793346053826
/mm/mill @ mm_2,4,14.402000069618225,14.0,1.0287142906870161,0.4020000696182251,0.014762181158895278
/mm/transport_from_to @ mm_1,1,23.046000003814697,12.0,1.9205000003178914,11.046000003814697,0.0
/mm/transport_from_to @ mm_2,2,11.98449993133545,12.0,0.9987083276112874,-0.015500068664550781,0.027518239350742886
/ov/burn @ ov_1,21,26.790095170338947,222.0,0.12067610437089617,-195.20990482966104,0.02375213468550378
/ov/burn @ ov_2,12,47.03141667445501,222.0,0.21185322826331085,-174.96858332554498,0.2464998622348191
/ov/temper @ ov_1,14,52.68657141072409,56.0,0.940831632334359,-3.313428589275905,0.02293859831450742
/pm/punch_gill @ pm_1,3,27.750333388646443,35.0,0.7928666682470412,-7.249666611353557,0.01323355080079089
/pm/punch_recesses @ pm_1,5,23.346999979019166,39.0,0.5986410251030555,-15.653000020980835,0.0046981531119216465
/pm/punch_ribbing @ pm_1,5,24.746399974823,39.0,0.6345230762775127,-14.253600025177002,0.0949560763908482
/sm/sort @ sm_1,10,16.923000049591064,12.0,1.410250004132589,4.923000049591065,0.929409851905197
/sm/sort @ sm_2,6,9.433500011761984,11.0,0.8575909101601803,-1.5664999882380168,0.0709570674392506
/sm/transport @ sm_1,13,23.197923055061928,18.0,1.2887735030589957,5.197923055061927,0.41272287647480044
/sm/transport @ sm_2,8,14.457375019788742,15.0,0.9638250013192495,-0.5426249802112579,0.016862725798611592
/vgr/pick_up_and_transport @ vgr_1,85,36.62030589159797,35.71764705882353,1.0232427438000014,0.9026588327744428,0.14831250398788912
/vgr/pick_up_and_transport @ vgr_2,42,40.827833328928264,38.0,1.0795682492482157,2.8278333289282664,0.06522365025380097
/wt/pick_up_and_transport @ wt_1,27,26.18785180868926,22.0,1.190356900394966,4.187851808689259,0.024939040034666436
/wt/pick_up_and_transport @ wt_2,14,29.49842858314514,27.0,1.0925343919683386,2.4984285831451416,0.0047216438034506794
