activity_resource,activity,resource,n,mean,std,min,max,unique_values
/dm/cylindrical_drill @ dm_2,/dm/cylindrical_drill,dm_2,4,47.0,0.0,47.0,47.0,1
/dm/lower @ dm_2,/dm/lower,dm_2,4,14.0,0.0,14.0,14.0,1
/hbw/get_empty_bucket @ hbw_1,/hbw/get_empty_bucket,hbw_1,15,46.0,0.0,46.0,46.0,1
/hbw/store @ hbw_1,/hbw/store,hbw_1,14,46.0,0.0,46.0,46.0,1
/hbw/store_empty_bucket @ hbw_1,/hbw/store_empty_bucket,hbw_1,1,46.0,0.0,46.0,46.0,1
/hbw/store_empty_bucket @ hbw_2,/hbw/store_empty_bucket,hbw_2,36,47.0,0.0,47.0,47.0,1
/hbw/unload @ hbw_2,/hbw/unload,hbw_2,38,52.0,0.0,52.0,52.0,1
/hw/human_review @ hw_1,/hw/human_review,hw_1,30,102.0,0.0,102.0,102.0,1
/mm/deburr @ mm_1,/mm/deburr,mm_1,21,14.0,0.0,14.0,14.0,1
/mm/deburr @ mm_2,/mm/deburr,mm_2,4,15.0,0.0,15.0,15.0,1
/mm/drill @ mm_2,/mm/drill,mm_2,7,17.714285714285715,5.3452248382484875,12.0,22.0,2
/mm/mill @ mm_1,/mm/mill,mm_1,15,5.6,2.32379000772445,5.0,14.0,2
/mm/mill @ mm_2,/mm/mill,mm_2,4,14.0,0.0,14.0,14.0,1
/mm/transport_from_to @ mm_1,/mm/transport_from_to,mm_1,1,12.0,0.0,12.0,12.0,1
/mm/transport_from_to @ mm_2,/mm/transport_from_to,mm_2,2,12.0,0.0,12.0,12.0,1
/ov/burn @ ov_1,/ov/burn,ov_1,21,222.0,0.0,222.0,222.0,1
/ov/burn @ ov_2,/ov/burn,ov_2,12,222.0,0.0,222.0,222.0,1
/ov/temper @ ov_1,/ov/temper,ov_1,14,56.0,0.0,56.0,56.0,1
/pm/punch_gill @ pm_1,/pm/punch_gill,pm_1,3,35.0,0.0,35.0,35.0,1
/pm/punch_recesses @ pm_1,/pm/punch_recesses,pm_1,5,39.0,0.0,39.0,39.0,1
/pm/punch_ribbing @ pm_1,/pm/punch_ribbing,pm_1,5,39.0,0.0,39.0,39.0,1
/sm/sort @ sm_1,/sm/sort,sm_1,10,12.0,0.0,12.0,12.0,1
/sm/sort @ sm_2,/sm/sort,sm_2,6,11.0,0.0,11.0,11.0,1
/sm/transport @ sm_1,/sm/transport,sm_1,13,18.0,0.0,18.0,18.0,1
/sm/transport @ sm_2,/sm/transport,sm_2,8,15.0,0.0,15.0,15.0,1
/vgr/pick_up_and_transport @ vgr_1,/vgr/pick_up_and_transport,vgr_1,85,35.71764705882353,12.538143483658446,15.0,47.0,7
/vgr/pick_up_and_transport @ vgr_2,/vgr/pick_up_and_transport,vgr_2,42,38.0,4.9730983618940385,32.0,47.0,4
/wt/pick_up_and_transport @ wt_1,/wt/pick_up_and_transport,wt_1,27,22.0,0.0,22.0,22.0,1
/wt/pick_up_and_transport @ wt_2,/wt/pick_up_and_transport,wt_2,14,27.0,0.0,27.0,27.0,1
