activity_resource,n,n_clean,outlier_count,outlier_rate,mean,std,median,min,max,clean_mean,clean_std
/dm/cylindrical_drill @ dm_2,4,4,0,0.0,34.39063675,2.7680881285369,34.843744,30.656295,37.218764,34.39063675,2.7680881285369
/dm/lower @ dm_2,4,3,1,0.25,18.2734365,2.2957112516791676,17.625,16.265615,21.578131,17.171871666666664,0.7904206060126044
/hbw/get_empty_bucket @ hbw_1,15,14,1,0.06666666666666667,46.562516066666674,10.978106534537158,42.890666,36.00001,81.812507,44.044659571428575,5.232643424785818
/hbw/store @ hbw_1,14,14,0,0.0,42.38454292857143,3.1351872433155954,42.953106,37.531317,46.836785,42.38454292857143,3.1351872433155954
/hbw/store_empty_bucket @ hbw_1,1,1,0,0.0,169.843749,0.0,169.843749,169.843749,169.843749,169.843749,
/hbw/store_empty_bucket @ hbw_2,36,33,3,0.08333333333333333,43.708788722222224,9.322986409808683,43.062499,21.375683,78.921952,42.43276524242424,3.514916729042062
/hbw/unload @ hbw_2,38,37,1,0.02631578947368421,424.5961915263158,248.44627124097164,394.9921735,39.8749,1079.062269,406.90791916216216,226.31977855004104
/hw/human_review @ hw_1,30,26,4,0.13333333333333333,20.889428199999998,28.4676365135634,5.921842,3.375019,103.979775,11.074516423076924,11.40327143388766
/mm/deburr @ mm_1,21,21,0,0.0,20.594473428571426,1.2376962444100155,20.859363,18.874898,23.593658,20.594473428571426,1.2376962444100155
/mm/deburr @ mm_2,4,4,0,0.0,20.558592500000003,0.55294071955952,20.601549,19.874992,21.15628,20.558592500000003,0.55294071955952
/mm/drill @ mm_2,7,7,0,0.0,16.779014571428572,5.722996153293624,20.171899,9.953067,22.32815,16.779014571428572,5.722996153293624
/mm/mill @ mm_1,15,14,1,0.06666666666666667,11.830187466666665,2.1552139374184067,11.124966,10.343747,18.984278,11.319180999999999,0.8854578016185924
/mm/mill @ mm_2,4,4,0,0.0,19.499951250000002,0.37908616954317426,19.4530685,19.109343,19.984325,19.499951250000002,0.37908616954317426
/mm/transport_from_to @ mm_1,1,1,0,0.0,29.562497,0.0,29.562497,29.562497,29.562497,29.562497,
/mm/transport_from_to @ mm_2,2,2,0,0.0,19.3437925,2.0992536622391524,19.3437925,17.859396,20.828189,19.3437925,2.0992536622391524
/ov/burn @ ov_1,21,21,0,0.0,33.272402380952386,5.780357336022407,31.421955,25.921918,44.078065,33.272402380952386,5.780357336022407
/ov/burn @ ov_2,12,10,2,0.16666666666666666,53.29886,54.31176177838037,39.9453185,20.867538,224.203135,39.45156469999999,5.476255928902926
/ov/temper @ ov_1,14,14,0,0.0,58.736723357142864,2.1301392447495284,58.281943,55.76553,63.546858,58.736723357142864,2.1301392447495284
/pm/punch_gill @ pm_1,3,3,0,0.0,31.239517666666668,1.9899560850321114,30.374918,29.828105,33.51553,31.239517666666668,1.9899560850321114
/pm/punch_recesses @ pm_1,5,3,2,0.4,26.524986000000002,0.9868910747106295,26.234332,25.593777,28.203126,26.276009,0.11520258787457875
/pm/punch_ribbing @ pm_1,5,4,1,0.2,27.9218524,3.767603183325347,26.453112,25.687378,34.609317,26.24998625,0.5405572796342522
/sm/sort @ sm_1,10,9,1,0.1,20.518732200000002,11.188994517349306,16.2500035,13.374961,50.515626,17.185744000000003,3.9835514001786767
/sm/sort @ sm_2,6,6,0,0.0,13.562503833333333,0.8861488848457502,13.5625515,12.500006,14.562478,13.562503833333333,0.8861488848457502
/sm/transport @ sm_1,13,11,2,0.15384615384615385,26.612976846153842,7.083795890901476,24.249971,21.078129,46.93749,24.072435454545452,2.4493243773521036
/sm/transport @ sm_2,8,8,0,0.0,18.152331125,1.2483256654535808,17.9921645,16.71874,20.125014,18.152331125,1.2483256654535808
/vgr/pick_up_and_transport @ vgr_1,85,84,1,0.011764705882352941,70.0345036352941,32.037261240386016,66.203172,18.109326,166.483565,68.88630052380952,30.419411308877013
/vgr/pick_up_and_transport @ vgr_2,42,37,5,0.11904761904761904,51.15528947619047,12.507663259445465,48.070321,37.296898,103.125047,47.658963621621616,5.867218648356848
/wt/pick_up_and_transport @ wt_1,27,23,4,0.14814814814814814,38.80670885185185,10.15060086747108,34.734374,33.390597,63.734409,34.67118956521739,0.9642069135870092
/wt/pick_up_and_transport @ wt_2,14,13,1,0.07142857142857142,37.67584542857143,1.2274429170351675,37.179686000000004,36.453102,40.734373,37.440574076923085,0.8903105576410274
