param_name,group,percentile,value
duration_hbw_2,overall,0,0.031243
duration_hbw_2,overall,5,1.443757
duration_hbw_2,overall,10,1.771855
duration_hbw_2,overall,15,2.559712
duration_hbw_2,overall,20,2.884374
duration_hbw_2,overall,25,3.031274
duration_hbw_2,overall,30,3.518761
duration_hbw_2,overall,35,31.7199
duration_hbw_2,overall,40,32.8094
duration_hbw_2,overall,45,33.9843
duration_hbw_2,overall,50,35.609
duration_hbw_2,overall,55,35.9558
duration_hbw_2,overall,60,37.2902
duration_hbw_2,overall,65,39.7421
duration_hbw_2,overall,70,41.6688
duration_hbw_2,overall,75,45.0235
duration_hbw_2,overall,80,152.897701
duration_hbw_2,overall,85,351.753177
duration_hbw_2,overall,90,513.520158
duration_hbw_2,overall,95,718.781258
duration_hbw_2,overall,100,1041.828393
