param_name,group,percentile,value
duration_mm_2,overall,0,3.734383
duration_mm_2,overall,5,3.970278
duration_mm_2,overall,10,4.159338
duration_mm_2,overall,15,4.333621
duration_mm_2,overall,20,4.515636
duration_mm_2,overall,25,4.60541
duration_mm_2,overall,30,4.670382
duration_mm_2,overall,35,4.856205
duration_mm_2,overall,40,5.06553
duration_mm_2,overall,45,5.259886
duration_mm_2,overall,50,5.382535
duration_mm_2,overall,55,8.564035
duration_mm_2,overall,60,12.253
duration_mm_2,overall,65,14.0183
duration_mm_2,overall,70,14.0899
duration_mm_2,overall,75,14.19975
duration_mm_2,overall,80,14.2596
duration_mm_2,overall,85,14.3672
duration_mm_2,overall,90,14.7482
duration_mm_2,overall,95,15.66405
duration_mm_2,overall,100,32.203
