param_name,group,percentile,value
duration_ov_1,overall,0,1.936641
duration_ov_1,overall,5,3.76554
duration_ov_1,overall,10,3.781249
duration_ov_1,overall,15,3.992204
duration_ov_1,overall,20,4.296825
duration_ov_1,overall,25,4.511698
duration_ov_1,overall,30,4.703104
duration_ov_1,overall,35,5.191416
duration_ov_1,overall,40,5.343744
duration_ov_1,overall,45,5.589838
duration_ov_1,overall,50,6.448669
duration_ov_1,overall,55,21.43375
duration_ov_1,overall,60,21.562
duration_ov_1,overall,65,26.45725
duration_ov_1,overall,70,26.688
duration_ov_1,overall,75,31.593
duration_ov_1,overall,80,36.484
duration_ov_1,overall,85,51.4605
duration_ov_1,overall,90,51.539
duration_ov_1,overall,95,51.559
duration_ov_1,overall,100,53.0
