param_name,group,percentile,value
duration_vgr_2,overall,0,0.624234
duration_vgr_2,overall,5,1.288122
duration_vgr_2,overall,10,1.996268
duration_vgr_2,overall,15,2.249945
duration_vgr_2,overall,20,2.29684
duration_vgr_2,overall,25,2.339848
duration_vgr_2,overall,30,2.442167
duration_vgr_2,overall,35,2.589206
duration_vgr_2,overall,40,2.684343
duration_vgr_2,overall,45,3.115406
duration_vgr_2,overall,50,3.382583
duration_vgr_2,overall,55,4.364817
duration_vgr_2,overall,60,21.159102
duration_vgr_2,overall,65,35.62635
duration_vgr_2,overall,70,36.2624
duration_vgr_2,overall,75,37.25825
duration_vgr_2,overall,80,38.7532
duration_vgr_2,overall,85,43.2765
duration_vgr_2,overall,90,43.5686
duration_vgr_2,overall,95,43.9204
duration_vgr_2,overall,100,46.375
