param_name,group,percentile,value
duration_wt_2,overall,0,3.82818
duration_wt_2,overall,5,4.05079
duration_wt_2,overall,10,4.135945
duration_wt_2,overall,15,4.292945
duration_wt_2,overall,20,4.393707
duration_wt_2,overall,25,4.535221
duration_wt_2,overall,30,4.76561
duration_wt_2,overall,35,4.979511
duration_wt_2,overall,40,6.29685
duration_wt_2,overall,45,13.552274
duration_wt_2,overall,50,25.976668
duration_wt_2,overall,55,29.19755
duration_wt_2,overall,60,29.203
duration_wt_2,overall,65,29.20385
duration_wt_2,overall,70,29.2469
duration_wt_2,overall,75,29.31275
duration_wt_2,overall,80,29.3346
duration_wt_2,overall,85,29.42165
duration_wt_2,overall,90,29.437
duration_wt_2,overall,95,29.4458
duration_wt_2,overall,100,29.531
